2020-10-28 08:56:47 ::1  GET /type/query/all 404 /type/query/all {} 1492 - 308.113 ms PostmanRuntime/7.26.5
2020-10-28 09:32:05 ::1  POST /admin/update/dalete 404 /admin/update/dalete {} 1492 - 235.330 ms PostmanRuntime/7.26.5
2020-10-28 09:56:10 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 255.455 ms PostmanRuntime/7.26.5
2020-10-28 09:58:45 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 142.399 ms PostmanRuntime/7.26.5
2020-10-28 09:59:12 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 142.333 ms PostmanRuntime/7.26.5
2020-10-28 09:59:25 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 12.164 ms PostmanRuntime/7.26.5
2020-10-28 09:59:52 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 144.672 ms PostmanRuntime/7.26.5
2020-10-28 10:01:14 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 140.276 ms PostmanRuntime/7.26.5
2020-10-28 10:01:21 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 11.160 ms PostmanRuntime/7.26.5
2020-10-28 10:01:51 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 236.213 ms PostmanRuntime/7.26.5
2020-10-28 10:01:52 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 11.249 ms PostmanRuntime/7.26.5
2020-10-28 10:01:52 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 7.503 ms PostmanRuntime/7.26.5
2020-10-28 10:03:48 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 144.035 ms PostmanRuntime/7.26.5
2020-10-28 10:07:50 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 11.544 ms PostmanRuntime/7.26.5
2020-10-28 10:09:48 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 224.634 ms PostmanRuntime/7.26.5
2020-10-28 10:12:26 ::1  GET /login/info 400 /login/info {} 1092 - 238.289 ms PostmanRuntime/7.26.5
2020-10-28 10:12:28 ::1  GET /login/info 400 /login/info {} 1092 - 11.139 ms PostmanRuntime/7.26.5
2020-10-28 10:12:43 ::1  GET /login/info 400 /login/info {} 1092 - 7.671 ms PostmanRuntime/7.26.5
2020-10-28 10:13:06 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 12.750 ms PostmanRuntime/7.26.5
2020-10-28 10:14:33 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 5.924 ms PostmanRuntime/7.26.5
2020-10-28 10:14:36 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 9.122 ms PostmanRuntime/7.26.5
